"","lat","lon","IFd","GIn","HIn","IFr","Crn","Pln","Frg","Nct","Grn"
"5773",17.5,96.5,142,122,61,51,37,19,25,5,14
"5774",17.5,97.5,198,139,75,67,39,19,33,6,16
"5775",17.5,98.5,199,136,71,69,36,18,33,6,14
"5776",17.5,99.5,168,117,66,54,31,16,28,6,14
"5529",18.5,-100.5,90,80,41,47,22,11,17,15,18
"5528",18.5,-101.5,93,82,41,48,22,9,18,16,17
"5527",18.5,-102.5,107,90,46,56,25,11,21,15,22
"5526",18.5,-103.5,92,85,52,57,23,12,19,13,17
"5541",18.5,-88.5,106,104,47,61,26,12,41,9,13
"5540",18.5,-89.5,99,93,42,59,26,12,42,8,12
"5539",18.5,-90.5,96,94,46,58,26,12,39,8,13
"5537",18.5,-92.5,107,105,53,56,27,12,38,8,14
"5534",18.5,-95.5,125,116,56,72,35,12,44,18,21
"5533",18.5,-96.5,144,121,61,85,39,19,42,18,24
"5532",18.5,-97.5,109,85,56,66,26,20,24,17,20
"5531",18.5,-98.5,98,82,44,51,23,15,15,17,22
"5530",18.5,-99.5,95,84,44,49,23,11,15,16,21
"5584",18.5,10.5,8,32,13,9,13,3,0,0,8
"5650",18.5,100.5,185,115,68,56,32,16,29,6,15
"5651",18.5,101.5,194,129,73,62,38,16,28,7,17
"5652",18.5,102.5,193,130,74,63,34,18,28,7,18
"5653",18.5,103.5,196,137,74,66,39,22,29,7,19
"5654",18.5,104.5,214,144,75,66,40,27,32,8,15
"5655",18.5,105.5,211,137,67,66,40,27,30,8,12
"5585",18.5,11.5,8,27,11,8,10,2,0,0,5
"5586",18.5,12.5,7,26,10,6,10,2,0,0,5
"5587",18.5,13.5,7,25,8,5,11,1,0,0,4
"5613",18.5,41.5,36,49,23,16,24,3,3,1,13
"5614",18.5,42.5,41,53,26,17,25,5,4,1,18
"5615",18.5,43.5,31,35,18,13,20,5,1,1,13
"5616",18.5,44.5,17,22,13,10,19,3,1,0,2
"5617",18.5,45.5,13,16,11,8,16,3,1,0,1
"5631",18.5,73.5,105,106,61,39,37,18,16,3,24
"5632",18.5,74.5,94,82,55,30,34,17,12,2,25
"5633",18.5,75.5,78,74,51,28,30,18,11,1,22
"5636",18.5,78.5,66,63,53,30,29,19,10,1,21
"5637",18.5,79.5,72,69,51,32,31,21,11,1,19
"5582",18.5,8.5,18,39,20,13,16,5,1,0,18
"5638",18.5,80.5,80,77,49,34,30,21,14,1,20
"5639",18.5,81.5,86,77,49,35,31,17,14,1,19
"5640",18.5,82.5,88,78,47,34,31,16,16,2,17
"5583",18.5,9.5,14,38,20,11,16,5,0,0,13
"5644",18.5,94.5,129,125,50,50,34,16,26,4,12
"5647",18.5,97.5,209,141,82,70,40,18,35,7,15
"5648",18.5,98.5,217,140,80,70,39,20,34,6,16
"5649",18.5,99.5,195,127,72,61,37,17,30,6,13
"5418",19.5,-100.5,102,89,52,61,24,13,7,19,24
"5417",19.5,-101.5,111,95,51,60,26,15,14,20,24
"5416",19.5,-102.5,114,99,52,62,28,16,16,21,26
"5415",19.5,-103.5,114,101,59,60,30,18,18,22,26
"5414",19.5,-104.5,114,96,53,61,31,13,20,19,21
"5438",19.5,-15.5,23,48,14,12,15,6,0,0,8
"5426",19.5,-87.5,93,104,46,55,24,11,31,8,11
"5425",19.5,-88.5,91,93,41,55,24,11,30,7,12
"5424",19.5,-89.5,85,91,39,53,23,11,32,7,11
"5423",19.5,-90.5,83,99,49,55,24,11,29,7,12
"5422",19.5,-96.5,96,99,63,64,34,18,29,8,20
"5421",19.5,-97.5,127,114,64,90,35,24,34,19,27
"5420",19.5,-98.5,99,75,55,54,23,21,13,13,20
"5419",19.5,-99.5,99,79,49,53,23,15,10,15,21
"5464",19.5,10.5,7,24,11,6,12,3,0,0,7
"6386",19.5,100.5,209,131,76,63,35,17,28,7,18
"6387",19.5,101.5,209,136,78,73,37,17,28,8,19
"6389",19.5,103.5,205,143,76,66,37,24,31,8,16
"6390",19.5,104.5,209,140,72,66,38,25,31,8,16
"6391",19.5,105.5,169,119,65,54,35,21,25,5,14
"5493",19.5,41.5,40,48,24,15,24,4,4,1,14
"5497",19.5,45.5,14,17,11,5,16,4,1,0,2
"5498",19.5,46.5,13,15,10,5,14,2,1,0,2
"5508",19.5,56.5,17,38,16,10,20,6,0,0,6
"5509",19.5,57.5,21,44,22,12,22,6,0,0,6
"5461",19.5,7.5,11,33,14,7,14,5,0,0,10
"5511",19.5,73.5,104,101,58,39,37,17,15,3,26
"5512",19.5,74.5,88,78,58,31,34,17,12,2,26
"5513",19.5,75.5,82,73,52,28,32,18,11,1,24
"5516",19.5,78.5,67,65,54,29,30,20,10,1,25
"5517",19.5,79.5,75,73,53,32,32,20,11,1,22
"5462",19.5,8.5,12,31,15,8,15,5,0,0,11
"5518",19.5,80.5,85,74,53,33,31,21,14,1,20
"5519",19.5,81.5,85,76,47,34,32,18,14,1,18
"5520",19.5,82.5,88,78,45,34,33,17,14,1,18
"5521",19.5,83.5,85,83,46,34,35,19,17,2,18
"5522",19.5,84.5,89,90,47,35,35,19,16,2,15
"5463",19.5,9.5,9,29,15,8,14,6,0,0,11
"6382",19.5,96.5,197,144,74,73,38,21,30,8,15
"6383",19.5,97.5,210,142,81,73,38,20,32,8,16
"6384",19.5,98.5,221,143,85,71,39,18,32,7,17
"6385",19.5,99.5,216,135,81,65,37,17,30,6,17
"4332",2.5,-51.5,219,117,66,91,30,17,76,28,27
"4329",2.5,-54.5,213,94,57,90,29,16,72,23,13
"4328",2.5,-55.5,210,95,59,89,30,16,74,24,13
"4327",2.5,-56.5,213,100,61,89,31,17,76,25,14
"4325",2.5,-58.5,212,100,59,89,30,18,80,24,16
"4324",2.5,-59.5,230,112,61,96,33,18,82,26,20
"4323",2.5,-60.5,224,111,66,94,33,19,84,25,22
"4322",2.5,-61.5,213,101,58,89,31,20,79,26,14
"4321",2.5,-62.5,204,92,51,83,29,17,74,25,12
"4320",2.5,-63.5,207,93,53,85,28,19,79,24,11
"4319",2.5,-64.5,224,100,55,92,29,18,87,25,12
"4318",2.5,-65.5,234,103,55,95,29,16,89,27,13
"4317",2.5,-66.5,237,104,49,93,29,15,90,25,15
"4315",2.5,-68.5,194,95,45,88,25,15,81,22,17
"4314",2.5,-69.5,176,87,45,85,26,14,77,20,18
"4313",2.5,-70.5,171,89,51,78,28,15,72,17,20
"4312",2.5,-71.5,176,88,49,79,28,15,69,16,22
"4311",2.5,-72.5,183,98,49,82,31,14,73,18,21
"4310",2.5,-73.5,203,117,58,93,35,17,85,20,22
"4309",2.5,-74.5,229,127,74,103,37,21,96,27,21
"4308",2.5,-75.5,158,90,73,70,29,20,71,30,16
"4307",2.5,-76.5,159,92,54,66,30,13,72,39,20
"4306",2.5,-77.5,172,107,58,82,31,14,83,32,15
"4335",2.5,10.5,169,144,36,65,18,21,47,8,18
"4381",2.5,102.5,179,113,58,55,30,17,42,11,8
"4382",2.5,103.5,181,103,49,53,29,16,41,9,8
"4336",2.5,11.5,174,138,35,64,18,21,47,8,18
"4337",2.5,12.5,177,138,35,64,18,21,45,8,14
"4338",2.5,13.5,168,132,32,60,18,21,40,8,11
"4339",2.5,14.5,165,133,32,59,18,20,39,8,10
"4340",2.5,15.5,158,132,31,59,18,20,36,8,14
"4341",2.5,16.5,158,131,30,59,19,21,35,8,12
"4342",2.5,17.5,140,127,31,56,18,20,34,8,5
"4343",2.5,18.5,130,121,32,57,19,22,34,8,13
"4349",2.5,24.5,154,124,40,61,22,26,33,6,17
"4350",2.5,25.5,164,136,46,62,23,26,35,6,23
"4353",2.5,28.5,192,158,58,69,24,29,36,7,22
"4355",2.5,30.5,239,177,74,75,43,40,36,9,44
"4356",2.5,31.5,190,164,73,61,43,36,27,8,51
"4357",2.5,32.5,153,145,70,43,43,36,17,6,45
"4358",2.5,33.5,138,144,66,47,39,31,17,6,23
"4359",2.5,34.5,155,149,69,45,43,41,19,8,39
"4361",2.5,36.5,124,134,50,38,43,36,7,7,35
"4362",2.5,37.5,111,128,48,38,38,36,7,8,35
"4363",2.5,38.5,95,112,44,32,30,29,5,6,29
"6251",20.5,-100.5,76,74,46,44,25,13,8,12,27
"6250",20.5,-101.5,84,80,47,48,27,13,7,12,28
"6249",20.5,-102.5,98,88,49,54,29,14,12,14,27
"6248",20.5,-103.5,106,93,50,61,30,15,15,15,25
"6247",20.5,-104.5,116,99,55,66,33,14,19,19,26
"6269",20.5,-15.5,17,36,12,12,13,4,0,0,5
"6259",20.5,-87.5,87,95,42,53,25,11,28,7,13
"6258",20.5,-88.5,80,90,35,50,25,11,26,6,11
"6257",20.5,-89.5,73,83,36,50,20,11,24,7,10
"6254",20.5,-97.5,104,100,56,70,36,18,27,6,22
"6253",20.5,-98.5,114,97,56,76,35,19,27,17,28
"6252",20.5,-99.5,83,74,49,48,26,19,11,11,25
"6295",20.5,10.5,6,21,10,6,13,2,0,0,4
"6369",20.5,100.5,223,144,80,71,41,19,31,8,19
"6370",20.5,101.5,208,138,79,71,39,18,30,8,18
"6372",20.5,103.5,200,137,71,65,33,20,29,8,19
"6373",20.5,104.5,200,131,70,69,32,21,27,8,16
"6374",20.5,105.5,172,126,67,59,36,19,22,6,13
"6375",20.5,106.5,131,109,50,49,30,14,16,3,12
"6324",20.5,40.5,38,47,20,14,22,3,3,1,13
"6325",20.5,41.5,34,41,25,14,24,5,4,1,15
"6340",20.5,56.5,15,28,16,10,20,3,0,0,3
"6341",20.5,57.5,19,39,19,12,21,4,0,0,7
"6346",20.5,73.5,98,100,57,37,38,17,11,2,25
"6347",20.5,74.5,88,81,53,32,33,17,11,2,25
"6348",20.5,75.5,82,75,54,31,32,18,11,1,24
"6350",20.5,77.5,72,70,52,30,32,18,11,1,25
"6351",20.5,78.5,71,67,50,32,33,20,12,1,24
"6352",20.5,79.5,78,77,51,32,37,20,11,1,24
"6293",20.5,8.5,6,24,12,6,12,4,0,0,4
"6353",20.5,80.5,85,77,47,32,36,20,13,1,23
"6354",20.5,81.5,89,78,47,34,34,19,13,1,20
"6355",20.5,82.5,87,77,45,36,33,18,15,1,20
"6357",20.5,84.5,95,86,47,34,35,19,19,1,20
"6358",20.5,85.5,91,94,49,36,34,19,19,1,18
"6359",20.5,86.5,81,82,41,33,28,18,12,1,14
"6294",20.5,9.5,5,23,11,6,13,3,0,0,5
"6362",20.5,93.5,144,132,58,64,37,19,27,8,15
"6363",20.5,94.5,144,129,64,59,34,24,27,9,15
"6364",20.5,95.5,127,114,59,50,35,19,22,7,16
"6365",20.5,96.5,192,145,75,72,39,19,31,9,17
"6366",20.5,97.5,190,144,74,73,33,19,29,9,17
"6368",20.5,99.5,225,148,83,71,38,16,32,8,21
"6099",21.5,-100.5,74,73,45,43,26,16,8,9,29
"6098",21.5,-101.5,75,73,41,39,26,17,3,9,30
"6097",21.5,-102.5,87,76,45,47,25,16,8,10,29
"6096",21.5,-103.5,98,85,43,57,31,17,12,13,29
"6095",21.5,-104.5,112,103,50,65,35,16,18,18,24
"6105",21.5,-88.5,76,92,42,50,21,10,20,5,10
"6101",21.5,-98.5,119,105,58,78,35,19,30,11,26
"6100",21.5,-99.5,94,86,55,59,35,22,18,14,28
"6228",21.5,100.5,217,152,84,78,41,22,33,8,20
"6229",21.5,101.5,209,142,84,75,40,23,30,7,18
"6230",21.5,102.5,202,140,72,72,38,19,28,8,18
"6231",21.5,103.5,204,137,71,69,33,18,27,8,19
"6232",21.5,104.5,199,139,71,65,33,22,24,8,15
"6233",21.5,105.5,162,119,64,52,32,19,18,6,13
"6234",21.5,106.5,156,126,63,53,34,18,18,7,13
"6235",21.5,107.5,145,125,61,57,33,17,14,7,16
"6237",21.5,109.5,93,113,46,46,31,14,9,3,17
"6174",21.5,36.5,26,58,24,19,15,7,0,1,10
"6176",21.5,39.5,34,43,19,15,23,3,1,1,12
"6177",21.5,40.5,35,41,21,16,25,4,2,1,13
"6178",21.5,41.5,26,32,17,12,20,6,2,1,9
"6180",21.5,43.5,13,16,13,8,19,3,1,0,5
"6198",21.5,70.5,71,84,53,29,35,18,9,0,26
"6199",21.5,71.5,74,86,56,31,37,18,9,0,25
"6201",21.5,73.5,99,102,56,38,39,19,11,2,25
"6202",21.5,74.5,92,87,53,35,34,18,11,1,25
"6203",21.5,75.5,89,80,53,34,34,19,11,1,25
"6204",21.5,76.5,86,78,53,33,34,19,11,1,24
"6205",21.5,77.5,84,78,54,33,35,19,11,1,25
"6207",21.5,79.5,86,79,52,33,38,20,12,1,24
"6208",21.5,80.5,84,81,50,33,36,20,13,1,22
"6210",21.5,82.5,87,81,44,33,35,18,14,1,21
"6211",21.5,83.5,88,82,43,34,35,16,14,1,21
"6213",21.5,85.5,96,87,51,32,34,18,18,1,22
"6214",21.5,86.5,98,99,52,36,36,18,14,2,18
"6220",21.5,92.5,116,107,50,50,31,19,24,5,13
"6221",21.5,93.5,171,136,67,69,38,19,28,9,16
"6222",21.5,94.5,147,123,68,62,35,26,25,7,18
"6223",21.5,95.5,129,117,60,49,31,19,21,6,16
"6224",21.5,96.5,189,144,73,76,37,21,30,9,17
"6227",21.5,99.5,205,148,84,75,41,15,31,8,19
"5947",22.5,-100.5,71,66,43,42,27,14,9,9,30
"5946",22.5,-101.5,67,65,38,32,26,16,2,7,27
"5945",22.5,-102.5,66,69,40,36,27,18,5,9,27
"5944",22.5,-103.5,88,78,45,46,28,16,7,10,28
"5943",22.5,-104.5,105,90,45,64,35,16,13,15,30
"5942",22.5,-105.5,107,92,50,58,29,12,20,13,26
"5949",22.5,-98.5,98,92,56,51,34,18,23,4,24
"5948",22.5,-99.5,110,99,59,67,37,22,23,15,34
"5989",22.5,10.5,7,24,10,6,8,2,0,0,4
"6070",22.5,100.5,189,151,84,71,39,24,27,6,23
"6071",22.5,101.5,207,153,86,75,41,25,25,6,22
"6072",22.5,102.5,213,157,83,70,39,25,26,6,18
"6073",22.5,103.5,216,154,81,74,36,24,24,7,20
"6074",22.5,104.5,198,150,75,68,36,24,20,6,17
"6075",22.5,105.5,179,133,62,61,35,19,17,6,16
"6076",22.5,106.5,165,131,63,55,35,19,17,6,16
"5990",22.5,11.5,6,20,7,5,5,2,0,0,2
"6083",22.5,113.5,100,117,49,46,31,14,6,0,20
"6011",22.5,32.5,27,48,21,12,15,6,1,0,3
"6012",22.5,33.5,21,36,24,10,14,7,0,0,3
"6013",22.5,34.5,19,36,23,10,17,7,0,0,3
"6014",22.5,35.5,27,55,24,16,17,7,0,0,8
"6019",22.5,41.5,17,26,17,13,20,6,1,1,10
"6020",22.5,42.5,13,21,15,7,19,4,1,0,6
"6037",22.5,59.5,28,53,19,16,22,2,1,0,7
"6040",22.5,70.5,71,84,57,29,33,16,7,0,28
"6041",22.5,71.5,76,83,56,32,33,18,8,0,29
"6042",22.5,72.5,86,91,58,36,34,20,9,0,26
"6043",22.5,73.5,95,95,55,36,36,19,10,1,26
"6044",22.5,74.5,96,88,57,35,36,18,10,1,26
"6046",22.5,76.5,92,83,56,33,36,19,10,1,27
"6047",22.5,77.5,93,83,55,33,37,19,10,1,27
"6048",22.5,78.5,95,83,56,34,36,18,13,1,27
"6050",22.5,80.5,90,85,52,35,35,21,13,2,24
"6051",22.5,81.5,82,83,50,35,34,19,13,2,22
"6053",22.5,83.5,89,82,44,36,34,18,12,2,25
"6055",22.5,85.5,95,85,52,35,32,18,15,2,23
"6056",22.5,86.5,89,85,51,35,34,18,14,2,20
"6058",22.5,88.5,86,92,46,33,30,13,10,2,14
"6059",22.5,89.5,77,85,42,28,27,14,10,2,12
"6060",22.5,90.5,71,85,36,32,21,14,11,1,13
"6061",22.5,91.5,77,85,40,35,25,15,17,3,12
"6062",22.5,92.5,131,116,57,60,33,19,28,8,14
"6063",22.5,93.5,174,136,64,68,37,22,29,9,17
"6064",22.5,94.5,148,122,67,61,34,26,24,8,18
"6065",22.5,95.5,125,113,57,52,32,20,21,6,16
"6066",22.5,96.5,183,145,70,76,38,22,31,9,18
"5916",23.5,-100.5,76,67,41,42,28,14,10,6,30
"5915",23.5,-101.5,66,62,36,32,26,15,3,5,25
"5913",23.5,-103.5,72,67,41,37,27,18,4,8,26
"5912",23.5,-104.5,93,81,47,49,30,14,11,12,30
"5911",23.5,-105.5,107,89,50,62,36,17,19,17,29
"5910",23.5,-106.5,86,78,52,53,27,11,17,10,21
"5908",23.5,-109.5,55,59,31,30,19,9,2,2,21
"5918",23.5,-98.5,82,88,56,49,34,14,18,3,25
"5917",23.5,-99.5,110,97,55,61,37,17,21,12,36
"6795",23.5,10.5,10,23,7,6,9,4,0,0,5
"6880",23.5,104.5,163,133,67,66,36,22,17,6,18
"6881",23.5,105.5,171,128,62,63,35,19,18,5,18
"6796",23.5,11.5,8,21,6,6,6,5,0,0,4
"6819",23.5,34.5,20,43,24,10,17,8,0,0,7
"6825",23.5,42.5,10,20,13,7,17,3,1,0,6
"6826",23.5,43.5,10,16,13,5,16,2,1,0,5
"6829",23.5,46.5,11,18,17,8,17,4,1,0,9
"6840",23.5,57.5,33,48,25,15,23,3,1,0,10
"6841",23.5,58.5,34,53,23,18,25,2,1,0,8
"6844",23.5,68.5,61,81,51,28,35,11,6,0,19
"6845",23.5,69.5,66,84,55,28,34,14,6,0,23
"6846",23.5,70.5,67,80,59,30,34,15,6,0,25
"6847",23.5,71.5,71,77,60,31,33,17,6,0,28
"6850",23.5,74.5,83,79,54,30,35,18,8,0,27
"6853",23.5,77.5,83,81,51,32,36,19,11,1,26
"6854",23.5,78.5,85,83,50,34,36,18,11,1,26
"6855",23.5,79.5,88,81,46,33,36,18,10,1,24
"6856",23.5,80.5,85,83,47,34,37,18,11,2,24
"6857",23.5,81.5,80,80,45,34,35,19,11,2,23
"6858",23.5,82.5,80,77,46,35,34,18,12,2,24
"6859",23.5,83.5,84,78,45,37,32,18,12,2,24
"6860",23.5,84.5,84,78,47,37,34,19,12,2,25
"6862",23.5,86.5,80,75,50,34,33,16,13,2,21
"6863",23.5,87.5,81,82,48,30,30,15,14,2,19
"6864",23.5,88.5,75,80,44,30,28,13,12,2,13
"6794",23.5,9.5,13,23,12,7,10,5,0,0,9
"6867",23.5,91.5,99,93,49,37,27,15,23,5,13
"6868",23.5,92.5,145,120,55,65,29,20,29,9,13
"6869",23.5,93.5,188,136,67,71,38,21,30,10,16
"6871",23.5,95.5,136,119,59,58,34,20,24,7,16
"6872",23.5,96.5,170,132,72,67,36,23,25,6,16
"6639",24.5,-100.5,85,71,41,43,29,19,7,9,31
"6638",24.5,-101.5,71,64,35,37,26,17,3,4,25
"6636",24.5,-103.5,70,62,38,34,25,18,2,6,26
"6635",24.5,-104.5,75,70,44,42,27,19,4,9,28
"6633",24.5,-106.5,102,80,45,62,34,14,16,14,25
"6632",24.5,-107.5,81,70,41,44,25,15,13,8,18
"6640",24.5,-99.5,84,86,48,54,30,15,11,7,29
"6675",24.5,10.5,11,24,12,7,8,4,0,0,8
"6758",24.5,102.5,139,116,61,57,33,21,11,4,20
"6759",24.5,103.5,135,112,58,57,32,22,10,4,20
"6676",24.5,11.5,10,20,8,6,6,4,0,0,4
"6697",24.5,32.5,32,59,30,13,22,5,1,1,6
"6699",24.5,34.5,22,49,19,16,16,5,0,0,6
"6701",24.5,37.5,22,33,17,15,20,3,0,0,8
"6702",24.5,38.5,21,38,18,14,19,5,0,0,8
"6703",24.5,39.5,20,29,17,12,17,3,0,0,9
"6706",24.5,42.5,11,16,13,5,16,2,1,0,8
"6709",24.5,45.5,13,19,18,6,17,2,1,0,9
"6710",24.5,46.5,14,22,21,8,19,3,1,0,12
"6714",24.5,50.5,22,36,16,12,21,3,1,0,6
"6719",24.5,55.5,27,50,23,18,24,3,1,0,10
"6720",24.5,56.5,33,54,23,19,27,2,1,0,10
"6723",24.5,67.5,59,87,55,33,36,13,6,0,26
"6724",24.5,68.5,58,82,55,30,35,12,6,0,24
"6725",24.5,69.5,52,72,54,26,33,9,5,0,20
"6672",24.5,7.5,12,27,15,8,10,6,0,0,8
"6726",24.5,70.5,53,71,55,24,32,10,4,0,19
"6727",24.5,71.5,59,68,56,27,31,13,5,0,24
"6728",24.5,72.5,72,70,60,29,32,14,7,0,26
"6729",24.5,73.5,78,73,60,27,33,18,8,0,25
"6730",24.5,74.5,77,76,56,25,32,18,8,0,26
"6731",24.5,75.5,78,75,54,30,32,20,8,0,25
"6732",24.5,76.5,79,75,49,30,34,20,8,0,23
"6735",24.5,79.5,77,72,46,32,36,19,10,0,23
"6673",24.5,8.5,13,26,15,8,11,6,0,0,9
"6736",24.5,80.5,74,73,45,32,35,19,10,0,20
"6737",24.5,81.5,69,75,47,33,35,19,10,1,22
"6738",24.5,82.5,71,77,45,33,32,19,10,2,24
"6739",24.5,83.5,75,77,47,32,33,17,12,2,25
"6740",24.5,84.5,81,78,50,32,33,16,12,2,25
"6741",24.5,85.5,81,78,48,31,35,16,13,2,24
"6742",24.5,86.5,78,78,49,33,34,17,12,2,23
"6674",24.5,9.5,13,26,13,7,10,4,0,0,9
"6746",24.5,90.5,99,95,44,36,30,14,17,4,14
"6747",24.5,91.5,119,97,60,40,30,16,21,4,15
"6748",24.5,92.5,144,116,66,55,29,20,28,6,12
"6749",24.5,93.5,186,142,78,77,37,23,31,10,12
"6487",25.5,-100.5,79,80,45,43,30,19,4,5,33
"6486",25.5,-101.5,76,69,40,39,27,20,3,3,32
"6484",25.5,-103.5,69,61,35,31,25,19,3,5,27
"6479",25.5,-108.5,71,65,40,41,25,16,9,8,21
"6477",25.5,-111.5,53,53,23,25,18,10,2,2,20
"6492",25.5,-80.5,43,73,42,35,20,6,1,1,12
"6490",25.5,-97.5,63,94,46,42,24,14,4,3,27
"6488",25.5,-99.5,69,80,42,45,30,16,6,4,28
"6521",25.5,10.5,12,23,13,7,7,4,0,0,4
"6609",25.5,102.5,129,106,66,52,30,24,7,3,19
"6547",25.5,37.5,23,34,20,14,19,3,0,0,6
"6548",25.5,38.5,20,30,19,14,19,5,0,0,9
"6549",25.5,39.5,15,24,22,11,16,4,0,0,8
"6550",25.5,40.5,13,19,18,11,17,4,0,0,7
"6552",25.5,42.5,12,17,18,6,16,2,0,0,6
"6555",25.5,45.5,12,21,22,7,18,3,1,0,9
"6556",25.5,46.5,13,23,20,9,18,3,1,0,9
"6557",25.5,47.5,13,22,17,11,20,3,1,0,7
"6559",25.5,49.5,20,35,24,13,23,2,1,0,7
"6517",25.5,6.5,10,26,14,8,12,5,0,0,7
"6567",25.5,60.5,34,52,29,19,25,8,2,0,14
"6568",25.5,61.5,31,44,27,20,23,7,2,0,16
"6570",25.5,63.5,28,47,27,21,27,6,1,0,14
"6571",25.5,64.5,29,48,25,21,29,5,1,0,15
"6572",25.5,65.5,32,53,29,21,31,6,1,0,15
"6574",25.5,67.5,61,73,52,25,37,12,6,0,21
"6575",25.5,68.5,56,71,53,26,34,12,5,0,22
"6576",25.5,69.5,47,67,51,22,29,9,5,0,21
"6518",25.5,7.5,11,26,15,8,13,5,0,0,6
"6577",25.5,70.5,40,59,50,21,27,6,4,0,16
"6582",25.5,75.5,75,70,55,31,30,19,6,0,23
"6583",25.5,76.5,77,70,52,32,32,20,7,0,23
"6584",25.5,77.5,75,73,51,33,33,20,8,0,23
"6585",25.5,78.5,74,73,49,32,34,20,9,0,23
"6519",25.5,8.5,14,26,16,8,11,4,0,0,6
"6587",25.5,80.5,71,81,49,36,36,18,10,0,22
"6588",25.5,81.5,71,83,44,34,35,18,11,1,22
"6590",25.5,83.5,72,83,46,34,32,17,11,1,20
"6591",25.5,84.5,81,82,46,34,33,15,12,1,21
"6592",25.5,85.5,82,83,52,32,34,17,12,2,20
"6593",25.5,86.5,83,86,54,33,34,18,13,2,18
"6594",25.5,87.5,84,87,54,31,32,15,14,2,16
"6595",25.5,88.5,87,86,51,31,27,12,13,3,16
"6520",25.5,9.5,11,24,13,7,10,4,0,0,5
"6597",25.5,90.5,156,123,63,60,33,19,22,6,18
"6598",25.5,91.5,193,134,69,70,37,22,25,9,16
"6599",25.5,92.5,200,138,80,74,35,21,26,9,15
"6600",25.5,93.5,194,146,84,77,40,22,31,10,16
"6601",25.5,94.5,195,137,83,73,41,24,27,10,15
"6602",25.5,95.5,160,124,78,59,37,23,24,8,13
"6603",25.5,96.5,150,122,74,59,34,19,21,7,11
"6604",25.5,97.5,190,139,86,73,37,29,25,8,18
"6414",26.5,-100.5,67,71,38,35,27,15,3,3,30
"6413",26.5,-101.5,76,69,38,37,26,18,3,4,32
"6412",26.5,-102.5,70,62,36,34,25,19,3,3,29
"6411",26.5,-103.5,69,59,33,32,24,17,3,3,25
"6410",26.5,-104.5,69,60,37,31,25,21,2,4,27
"6406",26.5,-108.5,90,75,39,51,32,15,13,10,26
"6404",26.5,-111.5,52,50,30,32,19,11,2,2,19
"6403",26.5,-112.5,49,48,24,25,19,11,2,2,19
"6420",26.5,-80.5,41,75,39,34,21,6,1,1,15
"6417",26.5,-97.5,64,93,48,40,22,16,3,3,24
"6416",26.5,-98.5,58,86,44,38,21,15,5,2,26
"6415",26.5,-99.5,65,75,40,37,29,16,5,3,27
"6474",26.5,37.5,20,32,21,13,20,3,0,0,7
"6475",26.5,38.5,15,24,21,13,18,3,0,0,7
"7333",26.5,45.5,11,18,17,7,18,2,1,0,7
"7334",26.5,46.5,11,20,16,7,19,3,1,0,5
"7335",26.5,47.5,11,18,17,8,20,3,1,0,5
"7337",26.5,49.5,22,38,23,14,24,3,1,0,10
"6443",26.5,5.5,10,26,15,6,10,4,0,0,5
"7343",26.5,57.5,43,49,25,17,23,8,2,0,12
"6444",26.5,6.5,10,26,15,5,10,5,0,0,6
"7346",26.5,60.5,34,38,25,19,24,10,2,0,14
"7347",26.5,61.5,29,37,28,18,25,8,2,0,14
"7353",26.5,67.5,57,69,51,28,36,12,4,0,22
"7354",26.5,68.5,54,67,49,25,34,12,4,0,22
"7355",26.5,69.5,44,60,44,22,27,11,5,0,16
"6445",26.5,7.5,10,25,14,8,11,5,0,0,5
"7356",26.5,70.5,35,46,45,19,26,6,3,0,16
"7359",26.5,73.5,59,58,50,27,30,13,4,0,21
"7360",26.5,74.5,68,67,53,28,29,19,4,0,22
"7361",26.5,75.5,70,68,55,29,30,20,5,0,25
"7362",26.5,76.5,79,72,55,31,31,20,7,0,24
"7363",26.5,77.5,81,78,53,34,33,20,8,0,25
"7364",26.5,78.5,77,81,53,35,35,20,9,0,25
"6446",26.5,8.5,9,24,15,8,9,4,0,0,6
"7370",26.5,84.5,95,96,59,35,38,16,12,2,19
"7371",26.5,85.5,113,103,66,37,41,20,13,2,18
"7372",26.5,86.5,136,110,76,41,43,25,15,3,19
"7373",26.5,87.5,145,123,84,47,51,26,19,4,19
"7374",26.5,88.5,162,117,86,54,50,29,22,6,19
"7375",26.5,89.5,169,127,81,57,49,29,24,6,16
"6447",26.5,9.5,7,23,12,6,6,4,0,0,3
"7376",26.5,90.5,162,125,81,59,47,32,23,5,18
"7377",26.5,91.5,150,121,80,54,43,30,22,5,16
"7378",26.5,92.5,146,112,74,50,40,23,20,5,17
"7379",26.5,93.5,152,124,76,60,41,22,22,5,18
"7380",26.5,94.5,192,142,88,75,39,19,26,9,19
"7381",26.5,95.5,196,140,75,74,36,23,29,10,16
"7382",26.5,96.5,174,129,74,68,32,26,25,8,15
"7383",26.5,97.5,189,137,80,74,35,23,28,9,18
"7182",27.5,-100.5,59,69,34,33,24,16,3,2,27
"7181",27.5,-101.5,70,68,37,32,25,17,3,2,31
"7180",27.5,-102.5,71,64,36,34,22,18,3,4,31
"7175",27.5,-107.5,89,65,46,44,30,12,6,9,24
"7174",27.5,-108.5,95,73,43,55,31,17,9,10,28
"7173",27.5,-109.5,76,68,35,42,27,15,8,8,28
"7172",27.5,-110.5,66,63,40,34,20,13,6,5,24
